Darwin_Corpo,Darwin_Tenis,Darwin_Boca,Gumball_Corpo,Gumball_Camisa,Gumball_Gola,Classe
0,5,0,0,387,1179,Gumball
8155,0,1385,2,31,1135,Darwin
1,0,0,0,0,24711,Gumball
11,0,0,0,0,820,Gumball
1314,13,496,0,24,227,Darwin
314,0,0,0,0,709,Gumball
0,0,0,0,0,1288,Gumball
120,0,0,0,0,765,Gumball
0,0,0,3,0,4156,Gumball
58,0,0,0,0,21320,Gumball
4,0,0,10,0,1089,Gumball
0,0,0,0,0,64,Gumball
37520,2235,0,18,84,96,Darwin
2099,0,0,0,0,6697,Gumball
3372,0,0,0,0,7579,Gumball
203382,21730,30195,0,0,569,Darwin
0,0,0,21,0,18441,Gumball
0,0,0,0,0,1677,Gumball
25491,0,0,0,0,8835,Darwin
0,0,0,15,0,2100,Gumball
0,0,0,1,0,312,Gumball
0,0,0,4,1,1886,Gumball
0,0,0,0,0,952,Gumball
0,0,0,4,0,1879,Gumball
0,0,0,4,0,2326,Gumball
0,0,0,1,0,557,Gumball
1203,0,0,0,31,473,Darwin
0,0,0,0,0,564,Gumball
0,0,0,0,0,1356,Gumball
0,0,0,0,0,380,Gumball
0,0,0,0,0,13,Gumball
0,0,0,0,0,211,Gumball
107075,0,0,0,1,277,Darwin
0,0,0,0,0,7509,Gumball
0,0,0,1,0,2089,Gumball
9100,0,29,0,0,2370,Darwin
0,0,0,0,0,1045,Gumball
0,17,0,1,0,1625,Gumball
8616,0,0,0,0,168,Darwin
956,11,0,0,7,76,Darwin
292,74,0,0,51,819,Gumball
0,0,0,0,4,90,Gumball
35397,0,0,0,4371,57,Darwin
87456,0,0,0,0,2005,Darwin
942,0,0,0,0,9654,Gumball
0,0,0,0,0,34543,Gumball
0,0,0,0,0,0,Darwin
25321,1889,156,0,0,0,Darwin
0,0,0,0,0,8633,Gumball
0,0,0,0,5,7816,Gumball
50969,6392,0,0,0,213,Darwin
4022,355,415,0,76,35,Darwin
1013,0,0,0,0,315,Darwin
0,41,0,0,0,555,Gumball
0,0,0,0,0,1763,Gumball
10,0,4,0,45,4392,Gumball
79,0,0,0,0,1452,Gumball
0,0,0,0,0,704,Gumball
405,10,0,0,0,6827,Gumball
0,0,0,0,0,510,Gumball
23,0,0,0,14,50,Gumball
0,0,0,0,0,158,Gumball
27,0,8,0,0,24,Darwin
0,0,0,0,0,106,Gumball
1,0,0,0,0,1125,Gumball
12232,206,0,0,0,862,Darwin
123,0,0,0,0,49,Darwin
794,0,0,0,0,428,Darwin
77,0,0,0,31,7091,Gumball
130,0,0,0,57,34220,Gumball
0,6,0,0,0,989,Gumball
0,1,0,0,0,624,Gumball
514,0,0,0,10,94,Darwin
2,0,0,0,0,18589,Gumball
0,0,0,0,0,557,Gumball
2389,0,0,0,0,8500,Gumball
17508,0,0,0,0,636,Darwin
29448,0,0,0,0,3442,Darwin
765,0,0,0,0,13457,Gumball
123526,0,0,95,0,5870,Darwin
3392,2078,0,0,1,935,Darwin
